,Section Description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
30,Processing and preserving of meat and production of meat products,971.7,1078.1,1117.1,1134.1,1214.8,1345.8,1321.0,1297.5,1294.1,1011.3,1251.0,1125.6,1022.4,1301.6,1101.8,1078.0,1029.2,1021.3,923.1,877.8,921.7,915.1,861.2,849.3,910.2,892.3,866.2,900.0,931.3,946.5,
31,"Processing and preserving of fish, crustaceans, molluscs, fruit and vegetables",746.0,714.6,722.6,659.6,631.3,671.4,679.8,669.5,682.9,553.6,611.3,673.6,765.3,880.9,726.4,913.1,900.9,898.3,844.9,810.9,862.1,874.6,852.9,853.5,901.5,884.8,895.1,940.0,970.4,988.2,
32,Manufacture of vegetable and animal oils and fats,626.8,716.3,811.1,842.5,825.5,672.8,479.2,423.9,347.2,616.4,248.3,372.9,486.5,151.7,139.0,106.6,88.3,85.1,74.5,70.9,75.2,74.9,73.1,75.0,78.1,75.3,79.4,85.3,90.3,92.4,
33,Manufacture of dairy products,1176.5,1098.4,1066.7,1007.7,875.4,897.9,920.9,845.8,786.6,756.7,715.4,698.0,801.5,786.7,681.3,702.2,822.7,828.5,770.6,721.3,764.5,759.5,747.6,766.6,785.7,746.6,753.6,790.5,811.9,820.1,
34,"Manufacture of grain mill products, starches and starch products",563.0,527.9,496.3,504.7,548.5,622.4,673.2,632.9,643.9,655.4,683.7,967.5,781.3,460.8,780.0,348.7,640.3,629.9,594.4,562.5,600.8,599.3,589.8,594.6,603.2,570.5,596.1,627.2,647.0,665.4,
35,Manufacture of bakery and farinaceous products,1136.0,1097.3,1109.9,1003.6,1023.6,1100.9,1173.9,1122.5,1173.1,1447.9,1063.9,1370.0,1370.1,1393.4,1268.4,1152.3,1363.9,1347.3,1227.2,1143.8,1206.6,1198.0,1159.8,1155.8,1203.5,1178.7,1233.0,1282.5,1325.0,1349.8,
36,Manufacture of other food products,1867.9,1928.1,2040.9,1850.9,1771.6,1754.2,1816.5,1989.7,2026.4,2643.9,3082.1,2313.4,1303.9,1613.4,2132.4,2303.0,1310.6,1313.3,1247.8,1193.0,1266.2,1265.3,1241.6,1270.9,1306.9,1219.8,1238.8,1315.6,1357.4,1372.2,
37,Manufacture of prepared animal feeds,546.6,640.2,694.5,711.0,743.8,663.6,807.2,696.4,635.2,607.0,558.9,581.1,731.4,507.0,537.7,371.4,416.3,429.3,388.6,357.6,381.4,379.5,370.9,377.7,393.7,380.6,366.4,376.5,383.4,384.1,
38,"Manufacture of alcoholic beverages, including spirits, wine, cider, beer and malt",1920.4,1939.2,1885.2,1817.9,1854.5,1799.9,1691.3,1507.1,1262.4,1199.5,1158.0,1286.0,1588.5,1795.7,1423.2,1384.7,1444.7,1440.1,1385.4,1116.9,1202.8,1208.5,1207.0,1231.3,1266.9,1232.3,1241.5,1327.2,1371.7,1398.7,
39,Manufacture of soft drinks: production of mineral waters and other bottled waters,242.4,225.1,221.0,206.6,204.2,206.0,186.1,166.9,163.3,160.3,181.9,192.0,173.4,153.2,156.6,168.2,177.8,173.4,155.1,121.1,122.5,119.1,112.4,109.7,112.9,107.6,109.6,111.2,111.9,113.5,
40,Tobacco products,71.4,83.4,88.6,82.4,94.6,88.4,103.2,90.5,73.4,73.8,122.0,38.0,66.4,26.8,40.1,30.4,29.8,29.3,26.9,25.6,25.4,25.8,24.0,23.1,24.8,24.3,24.2,25.4,26.2,27.0,
41,Textiles,2260.0,2627.9,2568.2,2235.5,1786.7,1743.3,1570.0,1587.6,1762.2,1861.4,2006.7,2040.0,1945.5,1983.4,1938.1,2011.9,1872.2,1661.2,1699.7,1324.7,1249.5,1292.3,1192.0,1181.9,1220.4,1032.2,1041.0,1038.0,1041.6,1016.8,
42,Wearing apparel,727.5,917.1,865.5,726.4,621.1,486.2,481.7,363.9,359.4,261.0,348.1,336.1,266.5,275.5,205.2,229.9,300.7,279.7,263.1,457.5,426.9,442.1,398.5,399.8,405.0,307.1,310.1,312.4,316.9,305.6,
43,Leather and related products,175.1,178.0,164.2,137.2,103.4,113.8,102.5,84.2,70.5,78.3,114.5,92.1,97.6,86.3,58.4,48.8,68.1,60.1,58.2,53.6,49.5,51.5,44.0,43.5,46.0,35.6,35.0,35.7,36.9,36.3,
44,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",2280.0,2369.4,2194.9,2197.9,3590.3,3837.9,3901.3,4038.3,3532.4,3953.3,4194.9,2959.0,2512.7,2600.1,2664.3,2140.7,2194.0,1979.3,1725.8,1657.0,1970.0,1995.1,1940.2,1932.2,1982.8,2009.0,2054.8,2088.8,2129.7,2105.9,
45,Paper and paper products,4573.8,5141.0,5484.6,5332.6,5299.9,4844.2,4411.3,4152.9,4091.7,4125.9,5235.5,3846.6,3612.7,3457.3,4792.8,5022.7,5333.0,5206.1,4414.0,3795.9,3440.3,3352.7,3340.7,3320.8,3292.2,2223.4,2270.6,2248.3,2155.5,2239.0,
46,Printing and recording services,751.3,752.5,721.8,735.9,856.4,1016.2,980.3,889.0,657.7,1134.1,1066.1,2216.5,2211.9,2800.2,1198.9,1604.1,935.1,927.3,752.4,649.7,618.8,601.3,591.0,573.7,570.2,397.1,404.6,411.9,397.7,414.2,
47,Manufacture of coke oven products,3332.7,2864.4,2555.8,2363.7,2278.4,2191.3,2260.2,2371.7,2094.9,2096.8,2098.3,1604.4,1349.4,1298.2,1215.8,1166.2,1515.8,1715.1,1696.0,1594.4,1740.3,1695.7,1546.5,1741.6,1986.5,1921.7,1742.7,1843.4,1983.1,1819.1,
48,Manufacture of refined petroleum products,18085.3,18855.8,19269.2,20191.5,19719.9,20464.1,20903.9,20752.5,20257.0,18379.4,17600.6,17386.3,19584.5,19067.4,18857.4,20372.3,18485.8,18260.7,17649.9,16870.3,17418.4,17836.7,16199.0,15149.2,14137.9,14236.0,14406.9,14541.7,14172.1,13771.0,
49,Manufacture of industrial gases and non-nitrogen-based inorganic chemicals,2127.7,2034.7,2358.8,2851.6,3353.0,3485.1,2930.8,2876.7,2429.8,1809.9,3505.2,2776.3,2218.2,2567.5,2202.1,2811.5,2788.8,2761.4,2784.1,2365.3,2491.5,2176.4,2060.2,2114.7,1819.5,1757.4,1855.6,1991.2,1986.5,1955.4,
50,Fertilisers,595.2,601.1,614.6,619.7,617.1,692.3,695.2,525.2,614.1,692.1,747.2,778.1,814.7,777.3,659.8,728.5,559.8,747.7,756.9,570.1,652.9,549.5,749.8,648.4,653.2,689.4,639.2,775.9,666.1,725.4,
51,Other nitrogen compounds,1393.0,1378.2,1347.4,1335.4,1405.2,1635.0,1627.5,1210.6,1650.9,1790.1,1323.1,2029.3,1950.9,2032.0,1890.2,1882.8,1209.6,1432.5,1227.4,1040.7,1198.1,918.3,1134.0,987.5,985.6,1021.0,995.4,1190.4,861.0,973.1,
52,Manufacture of petrochemicals,12148.5,12623.4,12655.9,13363.9,13490.0,12841.7,13425.2,13025.0,12174.8,13304.6,12339.7,9597.2,10161.5,9779.1,10567.1,8468.0,8773.6,8872.3,8327.4,7772.0,7864.2,7624.7,7134.8,6696.0,5869.3,5969.2,6143.4,6395.4,6339.1,5992.0,
53,"Manufacture of dyestuffs, agro-chemicals",1643.1,1488.3,1691.7,1943.1,1929.7,1819.0,1567.5,1734.9,2040.3,1267.7,1816.3,2439.3,2035.5,1739.4,1699.7,1844.0,1600.7,1574.6,1438.6,1094.8,1093.6,983.3,965.8,1009.1,965.5,978.8,1004.7,1077.2,1080.0,1034.9,
54,"Manufacture of paints, varnishes & ink",366.8,337.9,374.9,469.3,495.5,406.5,301.8,220.9,216.3,210.9,139.9,384.6,254.7,237.9,253.1,203.9,228.4,222.5,218.2,186.0,202.6,174.1,156.9,160.4,148.6,146.5,161.7,167.2,168.3,164.5,
55,Manufacture of cleaning & toilet preparations,589.4,417.8,381.8,456.9,446.6,392.1,349.5,336.0,329.3,317.5,439.5,323.2,318.2,949.0,774.5,1015.8,1012.9,867.5,653.5,331.7,340.6,306.0,292.4,297.2,281.1,280.1,291.8,309.6,311.1,304.6,
56,Manufacture of other chemical products & man-made fibres,866.2,848.6,935.5,1235.7,1294.8,1267.9,1100.0,1178.6,921.6,1009.6,688.9,1076.2,664.5,739.2,552.8,737.1,680.4,647.7,642.5,578.3,592.7,524.3,522.1,542.5,494.2,483.3,537.0,557.3,560.8,550.0,
57,Basic pharmaceutical products and pharmaceutical preparations,1076.0,987.5,1015.4,1246.9,1276.8,1335.4,1149.8,1151.2,1227.9,1357.0,973.4,2110.2,1737.7,1825.3,1858.3,1468.2,1189.2,1165.6,1191.1,852.8,868.8,797.2,731.2,737.9,661.0,624.5,657.3,703.2,703.7,686.4,
58,Rubber products,1211.1,1325.6,1082.4,866.9,953.6,952.7,783.9,1015.2,821.3,1162.3,1433.5,1352.9,1010.3,641.3,790.1,1330.7,849.0,730.0,368.1,347.5,485.3,428.9,399.5,401.2,431.9,442.2,499.5,533.6,584.0,566.0,
59,Plastics products,4485.4,4991.7,4787.8,3307.6,3520.7,3527.1,3128.4,3249.4,2406.5,2193.2,2404.5,2543.4,1918.0,2502.7,2374.7,3013.2,2751.1,2344.5,1996.0,1881.9,2823.2,2406.9,2150.9,2801.3,3189.6,2880.3,3078.0,2950.7,2789.2,2523.0,
60,"Manufacture of glass, refractory, clay, other porcelain and ceramic products, Stone, & abrasive products",5887.0,6075.4,5626.3,4786.7,4775.6,4295.9,4079.7,3952.6,3909.4,3795.2,3953.7,3760.7,3512.4,3513.1,3491.3,3361.6,3214.5,3726.9,4235.8,3654.9,3060.2,2814.6,2394.3,2460.8,2582.0,3027.9,3115.9,3139.5,3237.5,3081.6,
61,Manufacture of cement,13358.9,10919.2,9869.6,9909.5,11313.1,11047.0,11190.9,11716.4,11865.2,11308.2,10873.9,10462.4,10734.8,10281.6,10471.0,10186.4,10165.9,10466.8,8877.6,6293.9,6443.6,6850.1,6242.1,6699.5,6987.5,7354.4,7706.7,7526.9,7534.7,7675.0,
62,Manufacture of lime,2064.7,1843.1,1635.0,1640.4,1705.4,1873.6,2084.1,2135.6,2262.8,1952.9,1984.5,1978.3,1825.3,1961.7,2075.5,2079.1,2081.4,2211.3,2006.9,1443.8,1663.5,1712.8,1676.7,1774.0,1842.5,1738.0,1411.6,1500.3,1551.6,1512.2,
63,Manufacture of plaster,72.6,57.4,44.9,39.2,31.2,24.8,24.9,32.7,11.9,15.1,16.3,20.5,19.8,18.6,19.7,20.6,13.3,12.8,12.7,12.6,12.9,11.4,11.6,12.0,11.2,11.2,13.3,13.0,13.3,13.1,
64,"Manufacture of articles of concrete, cement and plaster",548.1,529.1,516.4,467.5,498.0,461.0,457.6,472.1,522.7,596.1,653.5,651.0,594.3,622.7,658.5,722.4,807.0,938.0,1228.6,1426.0,1316.7,1267.8,1704.0,2219.8,1803.4,1504.1,1157.9,960.9,911.6,860.1,
65,Manufacture of basic Iron & Steel,24467.2,23538.9,22743.8,23035.3,23638.8,23939.5,24513.5,25047.4,23366.8,25013.6,22337.1,20306.5,17374.5,19831.1,20298.8,20477.4,21243.2,21751.9,20930.9,15431.3,14150.0,12880.4,14061.9,18404.0,18660.8,16944.8,11768.3,11379.7,10735.2,11230.0,
66,Manufacture of other basic metals & casting (excl. Nuclear fuel & Aluminium),2803.6,2940.6,3217.2,3223.8,3552.9,3538.9,4121.6,2938.3,2457.7,2591.9,2140.5,2131.5,2029.8,1538.2,1862.2,1019.7,1017.4,800.5,840.1,654.0,1103.6,771.5,896.8,973.1,1068.8,730.4,671.3,669.5,708.7,682.9,
67,Aluminium production,2784.6,2933.5,2928.9,3701.7,3395.4,3205.3,3637.8,3500.7,3760.4,3880.3,3682.9,3848.4,3835.6,4033.0,4018.3,3854.7,3861.6,3887.6,3838.5,3515.2,3646.0,3411.0,2923.5,590.5,643.4,577.1,543.0,546.1,557.5,544.9,
68,Processing of nuclear fuel,80.7,94.3,98.2,111.2,106.6,89.0,166.6,176.6,2.4,2.5,2.5,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2.1,1.7,1.7,1.6,1.7,1.4,1.5,1.6,1.6,1.6,1.5,1.4,
69,"Fabricated metal products, except machinery and equipment, excluding weapons and ammunition",4709.2,4606.5,4531.8,4364.9,4302.7,4087.9,4260.1,4290.9,4045.7,4586.3,3288.0,3077.2,2900.4,3123.1,3044.7,3057.0,3086.3,2997.4,2764.8,2357.0,2582.6,2522.4,2402.8,2395.5,2445.9,3058.0,2988.3,3041.7,3148.5,3011.4,
70,Manufacture of weapons and ammunition,182.5,164.8,131.5,82.3,57.1,62.4,187.7,157.2,161.4,132.9,147.1,105.5,147.1,120.6,118.3,104.4,96.4,86.0,71.2,60.4,70.0,73.7,67.0,62.0,66.6,116.9,116.4,123.0,131.0,124.9,
71,"Computer, electronic, communication and optical products",1167.6,1390.6,1336.7,1091.4,873.4,769.3,809.4,703.3,762.3,626.5,783.7,824.7,655.2,655.2,651.7,667.2,632.5,558.6,495.9,441.3,433.2,426.2,412.3,412.8,429.6,462.5,481.2,494.8,496.0,492.8,
72,Electrical equipment,1301.9,1527.4,1473.9,1185.6,901.0,766.8,897.9,799.1,780.5,842.5,859.5,874.0,855.5,810.3,813.7,871.3,866.7,798.0,686.7,592.0,586.1,581.6,549.4,543.5,579.1,639.7,657.1,679.3,686.6,682.6,
73,Machinery and equipment n.e.c.,2732.6,2970.9,2850.0,2499.4,2149.5,1949.6,2086.2,2025.1,2238.0,2015.7,2100.4,1944.9,1788.7,1742.7,1696.4,1687.8,1674.1,1565.0,1392.2,1204.0,1291.5,1296.2,1252.2,1217.5,1254.4,1694.3,1763.3,1820.3,1892.5,1827.2,
74,"Motor vehicles, trailers and semi-trailers",1997.2,2166.0,2313.9,1803.7,1687.1,1662.7,1569.2,1551.5,1362.7,1837.0,2172.5,2223.0,1921.4,1956.6,1696.9,1778.4,1835.7,1584.8,1005.1,934.9,1578.9,1637.0,1543.2,1637.2,1752.2,1488.3,1516.6,1458.2,1379.1,1464.3,
