,Section Description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
21,Consumer expenditure,142316.6,150965.6,149142.6,154158.6,149261.7,144160.5,159758.6,153633.6,155851.2,157177.7,157589.2,161550.5,160471.3,160827.5,163576.1,159865.0,157396.9,154285.7,155227.1,151281.5,160476.1,141389.5,149527.7,151939.1,139214.8,143332.5,145905.7,144353.3,148814.4,147687.9,132615.6
22,"Products of agriculture, hunting and related services",53671.2,53336.7,52898.5,52036.7,53134.7,53002.6,53921.0,53030.3,52944.3,52930.4,50501.8,48243.7,48022.4,48963.4,48886.9,48672.6,47392.7,46737.0,45576.0,45275.9,45657.9,45698.4,45510.5,45151.7,47049.3,47067.2,47230.7,47814.0,47290.0,47765.4,
23,"Products of forestry, logging and related services",47.1,47.3,48.1,54.2,61.5,53.2,50.3,56.4,54.6,55.2,54.4,52.2,50.9,50.1,46.8,56.7,53.4,64.2,48.2,46.8,45.5,46.9,52.9,55.4,66.2,75.1,90.0,90.3,90.5,96.0,
24,Fish and other fishing products; aquaculture products; support services to fishing,949.6,972.7,1002.5,1058.5,1078.3,1124.0,1090.1,1068.7,1108.8,1007.0,906.6,894.0,838.0,790.7,809.1,802.1,747.6,756.9,731.2,707.1,745.5,728.5,765.9,759.6,910.0,860.0,844.9,863.1,820.0,724.2,
25,Mining of coal and lignite,23138,23672.5,23449.2,21713.8,14669.9,15890.2,14716.7,14123.3,12034.4,10067.4,8753.0,7878.3,7707.9,6471.5,5866.1,4428.3,4040.1,3389.8,3393.2,3198.9,3001.5,2827.2,2809.1,1986.9,1976.7,1674.0,803.2,787.5,748.5,688.2,
26,Crude petroleum and natural gas,19843.9,19899.4,20581.8,22011.5,24725.0,25847.0,28264.1,28289.2,29236.1,28910.6,28247.4,28720.0,29316.5,27064.8,26462.9,25852.3,23954.9,23568.5,22328.5,22082.2,22082.1,20369.5,19092.3,18622.7,18314.6,19982.0,19450.4,19599.5,19574.9,19889.8,
27,Mining of metal ores,25,23.7,23.7,24.0,25.0,25.6,16.9,15.5,14.8,14.4,14.1,13.6,12.9,12.3,12.5,11.3,10.7,10.7,9.4,6.9,6.1,4.9,5.4,4.1,4.0,4.2,3.9,4.1,3.9,3.4,
28,Other mining and quarrying products,2005.5,1962.8,1941.7,1789.8,1736.5,1651.4,1656.8,1570.6,1501.7,1409.4,1831.2,1747.2,1333.2,1291.1,1198.3,1292.5,1088.0,1210.2,1617.5,1536.2,1579.0,995.6,768.1,644.0,843.6,910.3,1037.0,1255.2,1177.7,923.5,
29,Mining support services,1549.4,1523.6,1622.1,1705.0,1803.8,785.0,831.2,825.0,846.0,287.9,186.9,150.2,200.9,189.4,182.3,167.5,120.1,108.0,96.1,231.9,122.1,110.5,199.0,204.3,325.1,167.7,308.4,309.1,296.1,280.7,
30,Processing and preserving of meat and production of meat products,977.5,1084.1,1123.2,1140.2,1220.9,1352.2,1328.8,1310.0,1316.4,1045.0,1296.5,1178.7,1080.2,1370.2,1176.3,1157.5,1113.7,1111.9,1013.3,968.2,1019.3,1011.7,961.7,956.9,1024.3,1004.7,975.7,1003.5,1030.0,1042.5,
31,"Processing and preserving of fish, crustaceans, molluscs, fruit and vegetables",749,717.5,725.7,662.7,634.4,674.8,684.3,677.0,695.6,573.0,640.8,705.6,802.5,923.2,771.9,965.1,955.2,955.9,905.7,873.0,928.7,939.3,920.3,924.2,974.4,959.7,971.2,1009.9,1036.3,1051.7,
32,Manufacture of vegetable and animal oils and fats,629.4,720.0,815.5,847.4,830.4,676.4,481.2,425.5,348.4,618.2,249.8,375.4,489.7,154.4,142.0,109.3,90.3,87.1,76.6,73.2,77.3,77.7,76.2,78.1,81.3,78.0,82.3,88.4,93.2,95.4,
33,Manufacture of dairy products,1216,1137.8,1103.3,1041.6,907.8,927.5,948.5,875.8,818.9,794.5,758.5,753.6,855.6,842.6,744.2,765.5,890.4,896.2,837.6,790.1,837.4,829.0,816.5,847.7,866.8,831.6,833.2,870.7,888.6,899.5,
